episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_trained,info/num_steps_sampled,info/WorkerIteration/Worker6,perf/cpu_util_percent,perf/ram_util_percent
nan,nan,nan,nan,0,15,50,0,False,0,1,56de9cbfa0d64190b61adcd36140ddfe,2021-03-29_08-18-25,1617031105,0.36740684509277344,0.36740684509277344,6604,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,0.36740684509277344,0,1,[],[],1,50,1,16.7,8.2
nan,nan,nan,nan,0,15,14750,0,False,0,2,56de9cbfa0d64190b61adcd36140ddfe,2021-03-29_08-18-30,1617031110,4.926152944564819,5.293559789657593,6604,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,5.293559789657593,0,2,[],[],295,14750,20,28.857142857142858,9.271428571428572
275.0,0.0,81.8840579710145,1252.3188405797102,69,15,29650,0,False,69,3,56de9cbfa0d64190b61adcd36140ddfe,2021-03-29_08-18-35,1617031115,5.075432777404785,10.368992567062378,6604,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,10.368992567062378,0,3,"[125.0, 125.0, 125.0, 125.0, 150.0, 275.0, 275.0, 275.0, 275.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 200.0, 250.0, 250.0, 275.0, 275.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 150.0, 150.0, 225.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1620, 1675, 1685, 1680, 1385, 1485, 1485, 1485, 1495, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1295, 1325, 1325, 1445, 1519, 1175, 1175, 1165, 1165, 1385, 1159, 1269, 1284, 1319, 1324, 1113, 1113, 1113, 1113, 1113, 1388, 1443, 1443, 1498, 1513, 1289, 1299, 1344, 1344, 1570, 1113, 1113, 1113, 1113, 1113]",593,29650,40,26.942857142857143,9.62857142857143
275.0,0.0,52.25,1233.23,51,15,44450,0,False,120,4,56de9cbfa0d64190b61adcd36140ddfe,2021-03-29_08-18-40,1617031120,5.04878044128418,15.417773008346558,6604,node0.drakes.michigan-bigdata-pg0.utah.cloudlab.us,128.110.155.52,15.417773008346558,0,4,"[250.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 125.0, 125.0, 125.0, 175.0, 175.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 200.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 200.0, 250.0, 250.0, 275.0, 275.0, 125.0, 125.0, 125.0, 125.0, 125.0, 0.0, 125.0, 125.0, 125.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 150.0, 150.0, 150.0, 150.0, 150.0, 125.0, 125.0, 150.0, 150.0, 225.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2110, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1920, 2109, 2113, 2192, 2194, 1113, 1113, 1113, 1113, 1113, 1189, 1179, 1164, 1174, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1220, 1180, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1113, 1295, 1325, 1325, 1445, 1519, 1175, 1175, 1165, 1165, 1385, 1159, 1269, 1284, 1319, 1324, 1113, 1113, 1113, 1113, 1113, 1388, 1443, 1443, 1498, 1513, 1289, 1299, 1344, 1344, 1570, 1113, 1113, 1113, 1113, 1113]",889,44450,60,24.575000000000003,9.775
