episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,10,10000,10000,False,0,1,630278585e484f1b86f7eed894bbd29b,2021-04-11_21-39-46,1618202386,763.5713012218475,763.5713012218475,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,763.5713012218475,0,1,[],[],3900.982,2563.457,1299.004,7698.205,758161.422,13.19,15.631,10000,10000,10000,10000,12.970275229357798,14.7854128440367,0.20000000298023224,4.999999873689376e-05,-0.038808186,-0.12099758,0.037765753,0.9968785,0.22211833,0.4281916,0.0
200.0,125.0,129.375,1466.5,40,10,20000,20000,False,40,2,630278585e484f1b86f7eed894bbd29b,2021-04-11_21-52-29,1618203149,763.1624393463135,1526.733740568161,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,1526.733740568161,0,2,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1470, 1470, 1470, 1480, 1465, 1465, 1460, 1470, 1465, 1460, 1460, 1460, 1465, 1470, 1475, 1480, 1465, 1460, 1465, 1465, 1465, 1470, 1455, 1475, 1460, 1455, 1465, 1480, 1475, 1460, 1465, 1480, 1460, 1470, 1470, 1475, 1460, 1455, 1460, 1465]",3858.779,2591.494,825.041,12120.609,758497.815,13.184,13.064,20000,20000,20000,20000,13.04420955882353,16.153860294117646,0.30000001192092896,4.999999873689376e-05,0.038081817,-0.03635387,0.05743348,0.98141414,0.056674045,0.36876303,0.0
200.0,125.0,128.5,1468.8,10,10,30000,30000,False,50,3,630278585e484f1b86f7eed894bbd29b,2021-04-11_22-05-10,1618203910,761.1726996898651,2287.906440258026,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,2287.906440258026,0,3,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1470, 1470, 1470, 1480, 1465, 1465, 1460, 1470, 1465, 1460, 1460, 1460, 1465, 1470, 1475, 1480, 1465, 1460, 1465, 1465, 1465, 1470, 1455, 1475, 1460, 1455, 1465, 1480, 1475, 1460, 1465, 1480, 1460, 1470, 1470, 1475, 1460, 1455, 1460, 1465, 1500, 1470, 1465, 1485, 1485, 1480, 1460, 1485, 1485, 1465]",3795.631,2634.608,662.933,15084.485,757999.324,13.193,13.447,30000,30000,30000,30000,13.040184331797233,16.09695852534562,0.44999998807907104,4.999999873689376e-05,-0.027725939,-0.05138363,0.0032169302,0.9939441,0.045423914,0.61930954,0.0
250.0,125.0,131.0,1477.55,50,10,40000,40000,False,100,4,630278585e484f1b86f7eed894bbd29b,2021-04-11_22-17-53,1618204673,762.6286599636078,3050.535100221634,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,3050.535100221634,0,4,"[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 175.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 125.0, 175.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[1470, 1470, 1470, 1480, 1465, 1465, 1460, 1470, 1465, 1460, 1460, 1460, 1465, 1470, 1475, 1480, 1465, 1460, 1465, 1465, 1465, 1470, 1455, 1475, 1460, 1455, 1465, 1480, 1475, 1460, 1465, 1480, 1460, 1470, 1470, 1475, 1460, 1455, 1460, 1465, 1500, 1470, 1465, 1485, 1485, 1480, 1460, 1485, 1485, 1465, 1480, 1495, 1500, 1495, 1495, 1465, 1475, 1465, 1480, 1495, 1470, 1480, 1485, 1490, 1550, 1465, 1465, 1485, 1485, 1490, 1480, 1470, 1515, 1515, 1510, 1465, 1470, 1485, 1480, 1490, 1475, 1480, 1480, 1500, 1490, 1460, 1485, 1495, 1480, 1495, 1460, 1465, 1480, 1495, 1495, 1480, 1485, 1510, 1505, 1510]",3800.487,2631.241,585.093,17091.306,758064.156,13.191,14.571,40000,40000,40000,40000,13.100459558823529,16.19172794117647,0.675000011920929,4.999999873689376e-05,0.124108374,-0.019373702,0.13760778,0.9533885,0.008702679,0.41582656,0.0
250.0,125.0,132.5,1472.5,2,10,50000,50000,False,102,5,630278585e484f1b86f7eed894bbd29b,2021-04-11_22-30-34,1618205434,761.2322134971619,3811.767313718796,1382101,node0.aanshul-x86.michigan-bigdata-pg0.apt.emulab.net,128.110.96.30,3811.767313718796,0,5,"[125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 175.0, 150.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 250.0, 125.0, 175.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 200.0, 200.0]","[1470, 1480, 1465, 1465, 1460, 1470, 1465, 1460, 1460, 1460, 1465, 1470, 1475, 1480, 1465, 1460, 1465, 1465, 1465, 1470, 1455, 1475, 1460, 1455, 1465, 1480, 1475, 1460, 1465, 1480, 1460, 1470, 1470, 1475, 1460, 1455, 1460, 1465, 1500, 1470, 1465, 1485, 1485, 1480, 1460, 1485, 1485, 1465, 1480, 1495, 1500, 1495, 1495, 1465, 1475, 1465, 1480, 1495, 1470, 1480, 1485, 1490, 1550, 1465, 1465, 1485, 1485, 1490, 1480, 1470, 1515, 1515, 1510, 1465, 1470, 1485, 1480, 1490, 1475, 1480, 1480, 1500, 1490, 1460, 1485, 1495, 1480, 1495, 1460, 1465, 1480, 1495, 1495, 1480, 1485, 1510, 1505, 1510, 1220, 1215]",3785.81,2641.442,540.319,18507.573,757843.668,13.195,13.941,50000,50000,50000,50000,12.996866359447003,16.287834101382487,0.675000011920929,4.999999873689376e-05,0.05937091,-0.035194058,0.08277805,0.8518356,0.017462121,0.59324825,0.0
